Discriminator ID,Birth,Death
533,533.0,371719.0,372722.0
534,534.0,371817.0,373229.0
535,535.0,371828.0,373237.0
536,536.0,371849.0,373236.0
537,537.0,371876.0,372877.0
538,538.0,371883.0,372884.0
539,539.0,371884.0,373112.0
540,540.0,371890.0,372947.0
541,541.0,371902.0,373146.0
542,542.0,371927.0,372959.0
543,543.0,371928.0,373145.0
544,544.0,372021.0,373074.0
545,545.0,372102.0,373123.0
546,546.0,372216.0,373217.0
547,547.0,372239.0,397603.0
548,548.0,396603.0,397991.0
549,549.0,396614.0,397615.0
550,550.0,396620.0,398012.0
551,551.0,396622.0,397766.0
552,552.0,396626.0,397770.0
553,553.0,396648.0,397998.0
554,554.0,396682.0,397683.0
555,555.0,396683.0,398011.0
556,556.0,396691.0,397692.0
557,557.0,396719.0,397789.0
558,558.0,396801.0,397825.0
559,559.0,396913.0,397914.0
560,560.0,397012.0,450785.0
561,561.0,397114.0,399030.0
562,562.0,449785.0,450787.0
563,563.0,449787.0,453759.0
564,564.0,449816.0,454896.0
565,565.0,450880.0,451925.0
566,566.0,450900.0,451901.0
567,567.0,450914.0,453208.0
568,568.0,450925.0,452725.0
569,569.0,450936.0,457108.0
570,570.0,450956.0,452738.0
571,571.0,451023.0,452024.0
572,572.0,451738.0,452813.0
573,573.0,451777.0,454899.0
574,574.0,451815.0,453591.0
575,575.0,451817.0,456131.0
576,576.0,451826.0,453624.0
577,577.0,451862.0,453743.0
578,578.0,451890.0,453536.0
579,579.0,451891.0,453594.0
580,580.0,451924.0,453204.0
581,581.0,451931.0,453608.0
582,582.0,452092.0,454901.0
583,583.0,452161.0,453218.0
584,584.0,452219.0,453240.0
585,585.0,452242.0,453742.0
586,586.0,452295.0,453296.0
587,587.0,452301.0,453592.0
588,588.0,452338.0,453339.0
589,589.0,452339.0,453419.0
590,590.0,452341.0,453380.0
591,591.0,452419.0,453432.0
592,592.0,452420.0,453721.0
593,593.0,452477.0,453762.0
594,594.0,452625.0,454900.0
595,595.0,453821.0,454944.0
596,596.0,453901.0,454918.0
597,597.0,453918.0,454942.0
598,598.0,453935.0,454949.0
599,599.0,453949.0,455914.0
600,600.0,453961.0,458353.0
601,601.0,454958.0,456532.0
602,602.0,455001.0,457282.0
603,603.0,455019.0,458390.0
604,604.0,455059.0,457124.0
605,605.0,455064.0,457255.0
606,606.0,455071.0,457303.0
607,607.0,455098.0,460830.0
608,608.0,455108.0,458224.0
609,609.0,455273.0,456423.0
610,610.0,455334.0,456465.0
611,611.0,455430.0,456538.0
612,612.0,455435.0,456633.0
613,613.0,455437.0,456635.0
614,614.0,455469.0,459331.0
615,615.0,455501.0,457064.0
616,616.0,455532.0,457284.0
617,617.0,455539.0,456550.0
618,618.0,455541.0,457287.0
619,619.0,455575.0,457289.0
620,620.0,455686.0,457073.0
621,621.0,455751.0,456931.0
622,622.0,455980.0,456981.0
623,623.0,456116.0,457117.0
624,624.0,456217.0,458312.0
625,625.0,457323.0,459372.0
626,626.0,457324.0,458337.0
627,627.0,457331.0,458332.0
628,628.0,457393.0,458422.0
629,629.0,457395.0,458398.0
630,630.0,457407.0,458408.0
631,631.0,457422.0,458423.0
632,632.0,457423.0,458432.0
633,633.0,457426.0,460789.0
634,634.0,457427.0,460803.0
635,635.0,457432.0,459375.0
636,636.0,458375.0,460734.0
637,637.0,458376.0,459479.0
638,638.0,458434.0,459811.0
639,639.0,458440.0,460211.0
640,640.0,458445.0,460856.0
641,641.0,458480.0,459524.0
642,642.0,458568.0,460857.0
643,643.0,458576.0,459824.0
644,644.0,458645.0,459996.0
645,645.0,458718.0,460000.0
646,646.0,458737.0,460759.0
647,647.0,458751.0,460291.0
648,648.0,458825.0,460509.0
649,649.0,458851.0,459997.0
650,650.0,459014.0,460463.0
651,651.0,459031.0,460433.0
652,652.0,459191.0,460245.0
653,653.0,459225.0,460490.0
654,654.0,459735.0,460855.0
655,655.0,459759.0,460771.0
656,656.0,459805.0,460852.0
657,657.0,459857.0,481314.0
658,658.0,480314.0,482725.0
659,659.0,480319.0,482692.0
660,660.0,480340.0,481724.0
661,661.0,480351.0,482726.0
662,662.0,480352.0,482752.0
663,663.0,480464.0,482676.0
664,664.0,480732.0,482437.0
665,665.0,480763.0,482723.0
666,666.0,481657.0,483835.0
667,667.0,481726.0,482748.0
668,668.0,481733.0,482734.0
669,669.0,481752.0,483833.0
670,670.0,481754.0,483987.0
671,671.0,481775.0,483759.0
672,672.0,482835.0,483990.0
673,673.0,482838.0,483949.0
674,674.0,482910.0,484008.0
675,675.0,482928.0,488207.0
676,676.0,482976.0,484019.0
677,677.0,482990.0,484058.0
678,678.0,483038.0,485231.0
679,679.0,483058.0,488056.0
680,680.0,483241.0,488046.0
681,681.0,483716.0,488212.0
682,682.0,484205.0,485662.0
683,683.0,484373.0,488068.0
684,684.0,484569.0,487982.0
685,685.0,484571.0,488153.0
686,686.0,484604.0,487967.0
687,687.0,484613.0,485985.0
688,688.0,484701.0,485702.0
689,689.0,484909.0,487784.0
690,690.0,485173.0,486182.0
691,691.0,485176.0,486178.0
692,692.0,485178.0,486179.0
693,693.0,485182.0,486183.0
694,694.0,485183.0,486184.0
695,695.0,485184.0,486797.0
696,696.0,486832.0,487833.0
697,697.0,486863.0,487881.0
698,698.0,486865.0,487883.0
699,699.0,486883.0,487898.0
700,700.0,486884.0,491865.0
701,701.0,486892.0,487893.0
702,702.0,486900.0,487901.0
703,703.0,486925.0,488031.0
704,704.0,486987.0,488215.0
705,705.0,490865.0,492808.0
706,706.0,490965.0,
707,707.0,491006.0,
708,708.0,491045.0,
709,709.0,491388.0,492809.0
710,710.0,491396.0,
711,711.0,491413.0,492414.0
712,712.0,491414.0,
713,713.0,491507.0,492639.0
714,714.0,491513.0,492771.0
715,715.0,491694.0,492810.0
716,716.0,491716.0,492803.0
717,717.0,491755.0,492795.0
718,718.0,491773.0,492799.0
719,719.0,492117.0,
